"","repo_name","num_events","num_actors","total_events","total_actors","events_per_actor","type","num_repo_events","num_repo_actors","repo_events_per_actor","participation_rate"
"1","cakephp/acl",5,3,83,36,2.30556,"PushEvent",83,36,2.30556,0
"2","Microsoft/TSJS-lib-generator",13,4,456,58,7.86207,"CreateEvent",456,58,7.86207,0
"3","cakephp/acl",1,1,83,36,2.30556,"DeleteEvent",83,36,2.30556,0
"4","zzz40500/Tinker_imitator",12,10,964,867,1.11188,"IssuesEvent",964,867,1.11188,0
"5","bernardolins/fake_server",15,2,127,29,4.37931,"IssuesEvent",127,29,4.37931,0
"6","GravityPDF/gravity-pdf",171,6,798,25,31.92,"IssuesEvent",798,25,31.92,0
"7","watson-developer-cloud/botkit-middleware",1,1,130,51,2.54902,"MemberEvent",130,51,2.54902,0
"8","baoyongzhang/ApkChannelBuilder",1,1,225,204,1.10294,"PublicEvent",225,204,1.10294,0
"9","zzz40500/Tinker_imitator",112,111,964,867,1.11188,"ForkEvent",964,867,1.11188,0
"10","julianlam/nodebb-plugin-mentions",3,3,79,23,3.43478,"ForkEvent",79,23,3.43478,0
"11","simonlast/node-persist",10,10,210,83,2.53012,"ForkEvent",210,83,2.53012,0
"12","baoyongzhang/ApkChannelBuilder",4,3,225,204,1.10294,"IssuesEvent",225,204,1.10294,0
"13","fourtf/chatterino",1,1,320,30,10.66667,"MemberEvent",320,30,10.66667,0
"14","teamreflex/DiscordPHP",26,10,578,135,4.28148,"PullRequestEvent",578,135,4.28148,0
"15","bogde/HX711",8,4,215,94,2.28723,"PullRequestEvent",215,94,2.28723,0
"16","Mte90/GH-License",52,10,147,24,6.125,"IssueCommentEvent",147,24,6.125,0
"17","pudo/dataset",36,14,491,399,1.23058,"IssueCommentEvent",491,399,1.23058,0
"18","bluerobotics/ardusub",62,7,581,35,16.6,"IssueCommentEvent",581,35,16.6,0
"19","maximkoretskiy/postcss-initial",7,4,62,43,1.44186,"IssueCommentEvent",62,43,1.44186,0
"20","GravityPDF/gravity-pdf",76,6,798,25,31.92,"IssueCommentEvent",798,25,31.92,0
"21","circonus-labs/reconnoiter",2,2,602,26,23.15385,"CommitCommentEvent",602,26,23.15385,0
"22","emc-advanced-dev/unik",22,2,1631,772,2.11269,"CommitCommentEvent",1631,772,2.11269,0
"23","tomzo/gocd-yaml-config-plugin",4,2,202,40,5.05,"PullRequestReviewCommentEvent",202,40,5.05,0
"24","ponty/pyscreenshot",8,8,58,43,1.34884,"ForkEvent",58,43,1.34884,0
"25","Stamplay/stamplay-stackoverflow",8,8,26,23,1.13043,"ForkEvent",26,23,1.13043,0
"26","watson-developer-cloud/botkit-middleware",18,18,130,51,2.54902,"ForkEvent",130,51,2.54902,0
"27","GravityPDF/gravity-pdf",169,1,798,25,31.92,"PushEvent",798,25,31.92,0
"28","DockYard/inquisitor",7,2,85,41,2.07317,"PushEvent",85,41,2.07317,0
"29","samlaudev/iOS-Best-Practices",1,1,52,47,1.10638,"PushEvent",52,47,1.10638,0
"30","simonlast/node-persist",65,64,210,83,2.53012,"WatchEvent",210,83,2.53012,0
"31","Mte90/GH-License",6,1,147,24,6.125,"CreateEvent",147,24,6.125,0
"32","ipfspics/ipfspics-server",7,3,206,130,1.58462,"GollumEvent",206,130,1.58462,0
"33","emc-advanced-dev/unik",21,3,1631,772,2.11269,"GollumEvent",1631,772,2.11269,0
"34","JBZoo/Utils",11,1,133,43,3.09302,"ReleaseEvent",133,43,3.09302,0
"35","philippelt/netatmo-api-python",2,2,48,24,2,"PullRequestEvent",48,24,2,0
"36","wolkykim/qlibc",6,2,99,74,1.33784,"IssueCommentEvent",99,74,1.33784,0
"37","JBZoo/Utils",2,1,133,43,3.09302,"IssueCommentEvent",133,43,3.09302,0
"38","ledger/ledger",1,1,449,300,1.49667,"CreateEvent",449,300,1.49667,0
"39","Wurst-Imperium/Wurst-Client-for-MC-1.9.X",1,1,167,58,2.87931,"CommitCommentEvent",167,58,2.87931,0
"40","bernardolins/fake_server",5,5,127,29,4.37931,"ForkEvent",127,29,4.37931,0
"41","Wurst-Imperium/Wurst-Client-for-MC-1.9.X",10,10,167,58,2.87931,"WatchEvent",167,58,2.87931,0
"42","cakephp/acl",11,8,83,36,2.30556,"PullRequestEvent",83,36,2.30556,0
"43","circonus-labs/reconnoiter",22,4,602,26,23.15385,"DeleteEvent",602,26,23.15385,0
"44","watson-developer-cloud/botkit-middleware",23,4,130,51,2.54902,"PushEvent",130,51,2.54902,0
"45","koajs/static-cache",28,28,41,34,1.20588,"WatchEvent",41,34,1.20588,0
"46","JBZoo/Utils",36,35,133,43,3.09302,"WatchEvent",133,43,3.09302,0
"47","manishiitg/excellence_magento_blog",37,37,58,53,1.09434,"ForkEvent",58,53,1.09434,0
"48","mysensors/MySensors",105,91,2580,234,11.02564,"ForkEvent",2580,234,11.02564,0
"49","mxcl/OMGHTTPURLRQ",7,7,117,77,1.51948,"ForkEvent",117,77,1.51948,0
