"","repo_name","num_events","num_actors","total_events","total_actors","events_per_actor","type","num_repo_events","num_repo_actors","repo_events_per_actor","participation_rate"
"1","zhangshou/jianli",2,1,12,1,12,"PushEvent",12,1,12,1
"2","wharton-data-analytics/data-nite",1,1,19,2,9.5,"ForkEvent",19,2,9.5,0.5
"3","haimapi/loc_visual",2,1,4,1,4,"PushEvent",4,1,4,1
"4","Shirakumo/radiance-contribs",1,1,76,2,38,"IssuesEvent",76,2,38,0.5
"5","kilamaos/JeuDuBugVendredi",1,1,5,2,2.5,"MemberEvent",5,2,2.5,0.5
"6","KouteiCheke/Replacer",11,1,22,2,11,"PushEvent",22,2,11,0.5
"7","pandehrushikesh/MyGitRepository",2,1,2,1,2,"CreateEvent",2,1,2,1
"8","NCBSinfo/NCBSinfo-light",2,1,5,2,2.5,"CreateEvent",5,2,2.5,0.5
"9","NCBSinfo/NCBSinfo-light",1,1,5,2,2.5,"ForkEvent",5,2,2.5,0.5
"10","raphael-group/hotnet",1,1,2,2,1,"ForkEvent",2,2,1,0.5
"11","abellina/storm",50,1,79,2,39.5,"PushEvent",79,2,39.5,0.5
"12","Saengmanee/test01",2,1,2,1,2,"CreateEvent",2,1,2,1
"13","direwolf-github/my-app-1130faab",2,1,7,1,7,"PullRequestEvent",7,1,7,1
"14","yangxudong/yxd",2,1,2,1,2,"CreateEvent",2,1,2,1
"15","vasilevieru/explore_california-master",2,1,4,1,4,"PushEvent",4,1,4,1
"16","evil-is-good/experiments",3,1,5,1,5,"PushEvent",5,1,5,1
"17","Azarieled/Parallel-Programming-KPI",1,1,1,1,1,"PushEvent",1,1,1,1
"18","Xiaoyuo/screens",2,1,4,1,4,"CreateEvent",4,1,4,1
"19","robinrowe/Golden",2,1,3,1,3,"CreateEvent",3,1,3,1
"20","pld-linux/offlineimap",5,1,11,2,5.5,"CreateEvent",11,2,5.5,0.5
"21","jlopezr/docker-ci",1,1,4,2,2,"PushEvent",4,2,2,0.5
"22","KouteiCheke/Replacer",1,1,22,2,11,"WatchEvent",22,2,11,0.5
"23","666c796e6e/Bruteforcer",2,1,2,1,2,"PushEvent",2,1,2,1
"24","mathalubos/vse-4it445",1,1,7,1,7,"PushEvent",7,1,7,1
"25","tdu-audiotec/qjackctlsh",1,1,1,1,1,"PushEvent",1,1,1,1
"26","Alina-Kovaleva/patchwork",1,1,3,1,3,"CreateEvent",3,1,3,1
"27","lauren-davis22/hackathon2k16",1,1,1,1,1,"CreateEvent",1,1,1,1
"28","asmaghorbel/IMS-project",1,1,1,1,1,"CreateEvent",1,1,1,1
"29","opskumu/docker-registry-compose",1,1,2,2,1,"ForkEvent",2,2,1,0.5
"30","Shirakumo/radiance-contribs",72,1,76,2,38,"PushEvent",76,2,38,0.5
"31","Alaska47/AutoTabSwitcher",4,1,16,1,16,"CreateEvent",16,1,16,1
"32","alfiehanssen/GIFSet",2,1,8,2,4,"IssuesEvent",8,2,4,0.5
"33","sanyabt/cookbook",1,1,3,1,3,"PushEvent",3,1,3,1
"34","motobrew/test",5,1,6,1,6,"PushEvent",6,1,6,1
"35","erikmartinessanches/cppPrimer5th",2,1,7,1,7,"CreateEvent",7,1,7,1
"36","eadelon/ico",1,1,14,1,14,"IssueCommentEvent",14,1,14,1
"37","lightninggalaxy/module3-solution",3,1,9,1,9,"CreateEvent",9,1,9,1
"38","circle-test-organization/test-repo-1476732235826",1,1,1,1,1,"CreateEvent",1,1,1,1
"39","RomualdAbel/moodlemobile2",1,1,1,1,1,"CreateEvent",1,1,1,1
"40","eadelon/ico",1,1,14,1,14,"IssuesEvent",14,1,14,1
"41","Parrot-Developers/ARSDKTools",3,1,4,2,2,"PushEvent",4,2,2,0.5
"42","DouglasLanca/recipes",5,1,9,1,9,"PushEvent",9,1,9,1
"43","lightninggalaxy/module3-solution",6,1,9,1,9,"PushEvent",9,1,9,1
"44","vasilevieru/explore_california-master",2,1,4,1,4,"CreateEvent",4,1,4,1
"45","Karka518/project",1,1,1,1,1,"CreateEvent",1,1,1,1
"46","Tanapruk/JavaPoetExample",6,1,8,1,8,"PushEvent",8,1,8,1
"47","Muhammad-Hamza/AndroidDevelopmentStarts",2,1,2,1,2,"CreateEvent",2,1,2,1
"48","DouglasLanca/recipes",1,1,9,1,9,"DeleteEvent",9,1,9,1
"49","kuy/node-jsonfile",4,1,4,1,4,"PushEvent",4,1,4,1
"50","wharton-data-analytics/data-nite",16,1,19,2,9.5,"PushEvent",19,2,9.5,0.5
"51","AnastasiaGrigorenko/python_language",14,1,15,1,15,"PushEvent",15,1,15,1
"52","tinysnake/microsoft-owin-security-qq",1,1,1,1,1,"WatchEvent",1,1,1,1
"53","bonjs/crossD",1,1,1,1,1,"CreateEvent",1,1,1,1
"54","simon-k3/ITStep_Lesson_3_Controlwork",1,1,1,1,1,"CreateEvent",1,1,1,1
"55","tiagodiogo/parallax",1,1,2,2,1,"PublicEvent",2,2,1,0.5
"56","cmp-cc/backon.css",3,1,3,1,3,"PushEvent",3,1,3,1
"57","haiyuan123/haiyuan123",1,1,1,1,1,"CreateEvent",1,1,1,1
"58","NCBSinfo/NCBSinfo-light",2,1,5,2,2.5,"PushEvent",5,2,2.5,0.5
"59","spirosbax/workspace",2,1,8,1,8,"CreateEvent",8,1,8,1
"60","powyin/cs",1,1,1,1,1,"CreateEvent",1,1,1,1
"61","abellina/storm",28,1,79,2,39.5,"CreateEvent",79,2,39.5,0.5
"62","photomattmills/midnight_computer",12,1,14,1,14,"PushEvent",14,1,14,1
"63","brettlangdon/codeface",1,1,1,1,1,"PushEvent",1,1,1,1
"64","xiGUAwanOU/expenditure-recorder",1,1,18,2,9,"IssuesEvent",18,2,9,0.5
"65","xiGUAwanOU/expenditure-recorder",1,1,18,2,9,"MemberEvent",18,2,9,0.5
