"","repo_name","num_events","num_actors","total_events","total_actors","events_per_actor","type","num_repo_events","num_repo_actors","repo_events_per_actor","participation_rate"
"1","WinVector/CampaignPlanner",2,2,10,10,1,"ForkEvent",10,10,1,0.1
"2","veny/orientdb4r",1,1,9,6,1.5,"ForkEvent",9,6,1.5,0.2
"3","htmlacademy-adaptive/182700-mishka",7,2,72,4,18,"PushEvent",72,4,18,0.3
"4","EarnUp/webapp-staging",1,1,4,3,1.33333,"PushEvent",4,3,1.33333,0.3
"5","mhroth/tinyosc",2,1,22,20,1.1,"PushEvent",22,20,1.1,0.1
"6","dnlcrl/fast-neural-style-pyfunt",5,5,15,6,2.5,"WatchEvent",15,6,2.5,0.2
"7","ElvenStudio/Odoo",2,2,85,5,17,"WatchEvent",85,5,17,0.2
"8","breandan/ml-exercises",2,2,8,3,2.66667,"WatchEvent",8,3,2.66667,0.3
"9","PrestaShop/ps_socialfollow",1,1,46,7,6.57143,"DeleteEvent",46,7,6.57143,0.1
"10","vollero/openCAPWAP",2,1,15,9,1.66667,"PullRequestEvent",15,9,1.66667,0.1
"11","phiDelPark/aFox",2,2,295,3,98.33333,"IssueCommentEvent",295,3,98.33333,0.3
"12","jdittrich/figureAltCaption",1,1,4,4,1,"ForkEvent",4,4,1,0.3
"13","JorritPosthuma/MixCloud-Desktop",1,1,22,15,1.46667,"PushEvent",22,15,1.46667,0.1
"14","yjwfn/SlideItem",10,10,20,19,1.05263,"WatchEvent",20,19,1.05263,0.1
"15","yonahforst/jbuilder_cache_multi",1,1,8,8,1,"IssuesEvent",8,8,1,0.1
"16","PrestaShop/ps_socialfollow",2,1,46,7,6.57143,"ReleaseEvent",46,7,6.57143,0.1
"17","redooor/redminportal",3,1,36,8,4.5,"IssueCommentEvent",36,8,4.5,0.1
"18","projectorhq/android-sdk",3,2,36,3,12,"PullRequestReviewCommentEvent",36,3,12,0.3
"19","mybigday/react-native-google-firebase",1,1,27,9,3,"ForkEvent",27,9,3,0.1
"20","sendsonar/send_sonar_gem",1,1,5,3,1.66667,"ForkEvent",5,3,1.66667,0.3
"21","sandeepraju/sandeepraju.github.io",12,1,14,3,4.66667,"PushEvent",14,3,4.66667,0.3
"22","fumiyasac/WebViewGraphOfSwift",2,2,6,3,2,"WatchEvent",6,3,2,0.3
"23","Soullivaneuh/composer-versions-check",15,15,17,17,1,"WatchEvent",17,17,1,0.1
"24","hashrocket/ws",5,2,16,5,3.2,"CreateEvent",16,5,3.2,0.2
"25","vollero/openCAPWAP",3,2,15,9,1.66667,"IssuesEvent",15,9,1.66667,0.1
"26","material-foundation/material-text-accessibility-ios",2,2,83,11,7.54545,"MemberEvent",83,11,7.54545,0.1
"27","sudweb/manifeste",2,2,5,3,1.66667,"PullRequestEvent",5,3,1.66667,0.3
"28","buttons/buttons.github.io",1,1,24,3,8,"ForkEvent",24,3,8,0.3
"29","squidproxy/onesafe",6,6,33,14,2.35714,"ForkEvent",33,14,2.35714,0.1
